,AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,household_key,nDay,latestDay,nBasket,COUPON_DISC,dayWCoupRed,SALES_VALUE,RETAIL_DISC,COUPON_MATCH,distProdPDay,avgSalesPDay,avgCoupDiscPDay,avgRetlDiscPDay,coupRedPBask,frequency,recency,variety,monetary,redeemedCoup
0,65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,1,79,706,79,-80.56,106,4330.16,-697.04,-26.15,1726,54.81,-1.02,-8.82,1.34,0.11,24,21.85,3552.56,1
1,45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,7,59,709,59,-30.4,27,3400.05,-482.51,-5.15,1286,57.63,-0.52,-8.18,0.46,0.08,21,21.8,2887.14,1
2,25-34,U,25-34K,Unknown,2 Adults Kids,3,1,8,103,706,103,-28.35,24,5534.97,-1078.3,-1.8499999999999999,1979,53.74,-0.28,-10.47,0.23,0.14,24,19.21,4428.32,1
3,25-34,U,75-99K,Homeowner,2 Adults Kids,4,2,13,203,709,203,-308.37,300,13190.92,-1627.19,-77.75,2341,64.98,-1.52,-8.02,1.48,0.28,21,11.53,11255.36,1
4,45-54,B,50-74K,Homeowner,Single Female,1,None/Unknown,16,90,690,90,-1.0,1,1512.02,-171.29,0.0,517,16.8,-0.01,-1.9,0.01,0.12,40,5.74,1339.73,1
5,65+,B,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,17,101,689,101,-76.5,10,5139.63,-1109.56,0.0,1030,50.89,-0.76,-10.99,0.1,0.14,41,10.2,3953.57,1
6,45-54,A,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown,18,132,711,132,-62.63,82,7118.91,-948.66,-20.05,1891,53.93,-0.47,-7.19,0.62,0.18,19,14.33,6107.62,1
7,35-44,B,15-24K,Unknown,Single Female,1,None/Unknown,19,296,711,296,-19.59,24,11299.61,-3044.85,-5.3,4594,38.17,-0.07,-10.29,0.08,0.41,19,15.52,8235.17,1
8,25-34,A,75-99K,Renter,2 Adults No Kids,2,None/Unknown,20,298,711,298,-20.0,31,7486.11,-813.92,-8.4,2030,25.12,-0.07,-2.73,0.1,0.41,19,6.81,6652.19,1
9,45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,22,119,711,119,-67.19,62,6256.04,-804.68,-8.65,1636,52.57,-0.56,-6.76,0.52,0.16,19,13.75,5384.17,1
10,35-44,U,50-74K,Unknown,Unknown,1,None/Unknown,25,86,705,86,-39.879999999999995,6,3149.65,-527.4399999999999,0.0,1018,36.62,-0.46,-6.13,0.07,0.12,25,11.84,2582.33,1
11,45-54,U,25-34K,Probable Renter,Single Female,1,None/Unknown,27,380,711,380,-18.3,17,5736.24,-478.11,-1.44,2488,15.1,-0.05,-1.26,0.04,0.52,19,6.55,5239.83,1
12,35-44,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,31,63,710,63,-254.87,280,4396.9,-946.6800000000001,-84.33,1082,69.79,-4.05,-15.03,4.44,0.09,20,17.17,3195.35,1
13,35-44,A,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown,39,56,685,56,-15.79,21,5033.66,-812.21,-5.55,1858,89.89,-0.28,-14.5,0.38,0.08,45,33.18,4205.66,1
14,45-54,U,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown,40,303,710,303,-26.15,17,12907.89,-1293.56,-1.15,3758,42.6,-0.09,-4.27,0.06,0.42,20,12.4,11588.18,1
15,65+,U,50-74K,Unknown,Single Male,1,None/Unknown,42,87,710,87,-15.75,20,1985.86,-545.77,-5.8,952,22.83,-0.18,-6.27,0.23,0.12,20,10.94,1424.34,1
